vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
1299573381,4137529034,BD,1878250,613,-1.0
1084359290,5307014746,D,247808958,912111,12729.0
1084359290,5307014746,BD,906500,126,-1.0
388650755,3818867351,D,139759625,488860,8371.0
388650755,3818867351,BD,993916,162,-1.0
1148889677,3827108495,D,285832542,1141331,20825.0
1148889677,3827108495,BD,2304125,743,-1.0
2600662098,748470448,D,43783083,139857,5548.0
2600662098,748470448,BD,1389708,331,-1.0
291839314,294280363,D,101289583,384283,7457.0
291839314,294280363,BD,609667,47,-1.0
3110160826,1986565045,D,253937416,907683,12456.0
3110160826,1986565045,BD,1084167,202,-1.0
2974709584,2652784549,D,3318542,4889,728.0
2974709584,2652784549,BD,882458,125,-1.0
3715603908,255740482,D,304964375,980844,11102.0
3715603908,255740482,BD,944500,114,-1.0
297194886,263451373,D,167743208,671242,13487.0
297194886,263451373,BD,1493458,389,-1.0
2522086789,1746863929,D,55272125,184636,5362.0
2522086789,1746863929,BD,433000,13,-1.0
312591642,1168444553,D,185251709,677233,10627.0
312591642,1168444553,BD,1182541,225,-1.0
769214349,746868997,D,184577750,716929,10915.0
769214349,746868997,BD,1242375,255,-1.0
5236424992,3330556599,D,20731041,49161,2237.0
5236424992,3330556599,BD,784375,97,-1.0
414573392,2931542879,D,271326167,1027953,18611.0
414573392,2931542879,BD,851417,98,-1.0
669096304,1299751600,D,164976959,647789,7600.0
669096304,1299751600,BD,1046375,186,-1.0
3619147632,1172802487,D,265963333,991565,13343.0
3619147632,1172802487,BD,1523292,332,-1.0
278878404,3268034126,D,149766250,527418,13052.0
278878404,3268034126,BD,1117750,200,-1.0
295632527,252188484,D,196327709,729528,7443.0
295632527,252188484,BD,1631959,470,-1.0
5343388971,26981894,D,299604834,1150673,18946.0
5343388971,26981894,BD,1044125,153,-1.0
290678176,1131286350,D,313378500,1144903,15003.0
290678176,1131286350,BD,2528625,883,-1.0
506345267,2591865236,D,245767375,927499,15046.0
506345267,2591865236,BD,1357625,301,-1.0
4141679787,4029779478,D,170683667,638630,8605.0
4141679787,4029779478,BD,2382334,842,-1.0
1082697397,2513841636,D,135193583,456757,4827.0
1082697397,2513841636,BD,1097625,200,-1.0
260996239,494616321,D,80255917,274030,3331.0
260996239,494616321,BD,1445417,361,-1.0
2332126134,575395,D,256727666,932397,14479.0
2332126134,575395,BD,929917,147,-1.0
2416519335,1237456653,D,105870291,346270,4497.0
2416519335,1237456653,BD,1294292,277,-1.0
3440082612,1347334739,D,270073084,978524,14021.0
3440082612,1347334739,BD,792458,72,-1.0
