vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
9786572,1457078620,D,301964209,1050736,13984.0
9786572,1457078620,BD,258761000,366201,13984.0
306245469,393773529,D,283996542,1040687,12234.0
306245469,393773529,BD,188478584,247875,12234.0
1233968299,322106730,D,310201708,1143280,16640.0
1233968299,322106730,BD,382394583,531149,16640.0
310717660,452535412,D,78955666,257501,5371.0
310717660,452535412,BD,55935500,63235,5371.0
1272528018,1313455828,D,158600209,477873,5605.0
1272528018,1313455828,BD,93877209,107567,5618.0
1057409991,1785976009,D,58168875,180049,4770.0
1057409991,1785976009,BD,50125083,55058,4770.0
958445382,1231323115,D,101460166,337113,7410.0
958445382,1231323115,BD,77291583,96236,7410.0
4569433942,4197209896,D,311623167,1133059,18511.0
4569433942,4197209896,BD,369996625,476479,18511.0
1177204918,252262687,D,83620417,279871,5545.0
1177204918,252262687,BD,69318667,83256,5545.0
290100646,2974709581,D,30697083,80935,1520.0
290100646,2974709581,BD,13489042,10020,1520.0
1296445291,244976381,D,313684375,1125043,13364.0
1296445291,244976381,BD,228259666,292860,13364.0
692665,1689133583,D,297147667,1040834,12419.0
692665,1689133583,BD,332621625,403496,12419.0
383891713,1223537720,D,74752542,218593,6138.0
383891713,1223537720,BD,77809042,94315,6138.0
479316105,3258979443,D,81675417,256071,4545.0
479316105,3258979443,BD,69088959,83416,4545.0
3034207150,17345227,D,288046958,1049810,11436.0
3034207150,17345227,BD,335713834,417878,11436.0
318593689,278798620,D,178003167,635636,7133.0
318593689,278798620,BD,81058500,96947,7133.0
438047606,119100867,D,24836833,59412,1619.0
438047606,119100867,BD,14832375,11211,1619.0
2229300331,434437691,D,28059958,73483,3283.0
2229300331,434437691,BD,24572042,19426,3283.0
3088895286,370117919,D,198370625,764089,12377.0
3088895286,370117919,BD,185391542,236011,12377.0
211493653,1549344322,D,55085459,175822,3110.0
211493653,1549344322,BD,46701458,45834,3120.0
2127601667,189092217,D,72648667,225599,5564.0
2127601667,189092217,BD,53045416,56585,5564.0
2047074118,1043107378,D,200467917,706913,9412.0
2047074118,1043107378,BD,160974292,200084,9413.0
1170950491,305575253,D,164543084,529492,9267.0
1170950491,305575253,BD,151110583,191119,9267.0
1975371129,2590819722,D,279667167,997315,14438.0
1975371129,2590819722,BD,232041583,310630,14438.0
450563990,1132488051,D,3757042,5904,1061.0
450563990,1132488051,BD,2520917,1159,1061.0
484688359,604004818,D,24110416,54976,1971.0
484688359,604004818,BD,14259875,10687,1971.0
2669539881,34002150,D,8669167,17158,3204.0
2669539881,34002150,BD,20823584,16420,3204.0
617811212,1681733869,D,58802625,184276,3616.0
617811212,1681733869,BD,67644500,79210,3616.0
2655806998,1166294742,D,209769084,809429,10020.0
2655806998,1166294742,BD,198846292,245351,10020.0
1246433241,469733216,D,167415542,535102,7283.0
1246433241,469733216,BD,122842625,143135,7283.0
311607280,2359406687,D,102853083,376229,6318.0
311607280,2359406687,BD,79247125,99011,6318.0
158693993,3776908207,D,252265000,893763,13782.0
158693993,3776908207,BD,267567208,341336,13782.0
1102901519,882380650,D,189901375,699319,10954.0
1102901519,882380650,BD,283650500,376811,10966.0
3531222298,1893856878,D,276629625,992965,17221.0
3531222298,1893856878,BD,214170167,319053,17226.0
1524382451,1113638191,D,139381041,507282,12054.0
1524382451,1113638191,BD,288392041,411094,12054.0
1103737047,32993243,D,16005000,33720,1716.0
1103737047,32993243,BD,20696167,15731,1716.0
802364333,2497159095,D,207722292,765826,12408.0
802364333,2497159095,BD,388854000,437123,12408.0
1635179451,1300111852,D,124868375,418499,5296.0
1635179451,1300111852,BD,66794000,77168,5296.0
272497942,1301954934,D,301060292,999608,12957.0
272497942,1301954934,BD,138229208,163523,12957.0
1927072430,4696037092,D,146932041,507781,11149.0
1927072430,4696037092,BD,344743167,414890,11149.0
2505524876,5236132715,D,16942875,34089,3866.0
2505524876,5236132715,BD,28073417,21918,3866.0
1665886639,60693726,D,317256458,1123742,11425.0
1665886639,60693726,BD,213074542,267475,11425.0
322022926,1219553179,D,110973083,396862,6295.0
322022926,1219553179,BD,80477209,94321,6295.0
611898315,1239268489,D,194202292,542661,7499.0
611898315,1239268489,BD,149569041,157794,7499.0
149198823,311831740,D,15617958,31367,1622.0
149198823,311831740,BD,5483334,3471,1622.0
3166450427,1820489981,D,90395584,233575,3198.0
3166450427,1820489981,BD,53643125,43566,3198.0
1576155249,3199371222,D,145088292,428343,5645.0
1576155249,3199371222,BD,87434750,108395,5645.0
4738359078,322750947,D,171768416,563635,7307.0
4738359078,322750947,BD,67797000,82240,7307.0
2386012784,746859108,D,94318875,297191,6662.0
2386012784,746859108,BD,55702917,65327,6662.0
1187625019,245460439,D,111601250,392314,8957.0
1187625019,245460439,BD,128318541,161510,8957.0
3193767155,148504,D,310774834,1100379,18568.0
3193767155,148504,BD,325275792,440436,18568.0
4896533578,5286705695,D,39639459,118016,4002.0
4896533578,5286705695,BD,28688917,24032,4002.0
855516453,2118218868,D,9172458,18515,1689.0
855516453,2118218868,BD,12875792,9205,1689.0
3111473093,274068932,D,296529875,1027141,14685.0
3111473093,274068932,BD,345657625,479012,14685.0
1654305387,1576571269,D,47310000,155379,3934.0
1654305387,1576571269,BD,34204041,34528,3942.0
361518205,1468014809,D,259363958,909436,12128.0
361518205,1468014809,BD,250765542,339468,12128.0
4614984641,1558249097,D,251437834,898188,16459.0
4614984641,1558249097,BD,332800375,491807,16459.0
2613874438,1615575482,D,148888834,534747,8060.0
2613874438,1615575482,BD,109146250,133025,8060.0
2520774280,1419226211,D,26935167,70064,2829.0
2520774280,1419226211,BD,14642833,10991,2829.0
370117576,772833213,D,85205125,297501,4270.0
370117576,772833213,BD,67657792,85416,4270.0
2894074258,2333040052,D,266505875,1020396,18014.0
2894074258,2333040052,BD,342054416,473806,18014.0
576287849,1472220331,D,266415000,1062067,16325.0
576287849,1472220331,BD,341548292,445052,16325.0
2589230552,117710,D,132202917,505376,8095.0
2589230552,117710,BD,140118417,193529,8095.0
1509547523,1355674049,D,255712458,979280,18991.0
1509547523,1355674049,BD,333294959,456982,18991.0
